Timestamp,FractionalDate,UncorrectedCountRate[cts/min],CorrectedCountRate[cts/min],Pressure[mbar],raíz das contagens
1964-04-01T00:00:00Z,1964.2486339,5963,6414,1009.98,77
1964-05-01T00:00:00Z,1964.3306011,5945,6424,1010.69,77
1964-06-01T00:00:00Z,1964.4153005,6008,6427,1009.32,78
1964-07-01T00:00:00Z,1964.4972678,6059,6461,1009.03,78
1964-08-01T00:00:00Z,1964.5819672,6112,6464,1007.79,78
1964-09-01T00:00:00Z,1964.6666667,6299,6491,1004.47,79
1964-10-01T00:00:00Z,1964.7486339,5865,6474,1013.57,77
1964-11-01T00:00:00Z,1964.8333333,6389,6468,1002.23,80
1964-12-01T00:00:00Z,1964.9153005,6359,6512,1003.72,80
1965-01-01T00:00:00Z,1965.0000000,6259,6506,1006.38,79
1965-02-01T00:00:00Z,1965.0849315,6113,6467,1008.14,78
1965-03-01T00:00:00Z,1965.1616438,6211,6532,1007.13,79
1965-04-01T00:00:00Z,1965.2465753,5876,6593,1015.70,77
1965-05-01T00:00:00Z,1965.3287671,6015,6620,1013.19,78
1965-06-01T00:00:00Z,1965.4136986,6142,6513,1008.13,78
1965-07-01T00:00:00Z,1965.4958904,6303,6473,1003.98,79
1965-08-01T00:00:00Z,1965.5808219,6118,6454,1007.47,78
1965-09-01T00:00:00Z,1965.6657534,6056,6471,1009.18,78
1965-10-01T00:00:00Z,1965.7479452,6157,6509,1008.15,78
1965-11-01T00:00:00Z,1965.8328767,6101,6559,1010.30,78
1965-12-01T00:00:00Z,1965.9150685,6535,6508,999.90,81
1966-01-01T00:00:00Z,1966.0000000,5563,6424,1020.26,75
1966-02-01T00:00:00Z,1966.0849315,5941,6376,1009.96,77
1966-03-01T00:00:00Z,1966.1616438,6156,6411,1005.74,78
1966-04-01T00:00:00Z,1966.2465753,5673,6397,1016.33,75
1966-05-01T00:00:00Z,1966.3287671,5877,6435,1012.48,77
1966-06-01T00:00:00Z,1966.4136986,5813,6346,1012.09,76
1966-07-01T00:00:00Z,1966.4958904,6055,6304,1005.57,78
1966-08-01T00:00:00Z,1966.5808219,5828,6277,1010.25,76
1966-09-01T00:00:00Z,1966.6657534,6099,6041,998.90,78
1966-10-01T00:00:00Z,1966.7479452,5778,6162,1009.16,76
1966-11-01T00:00:00Z,1966.8328767,5703,6220,1012.00,76
1966-12-01T00:00:00Z,1966.9150685,5636,6155,1012.39,75
1967-01-01T00:00:00Z,1967.0000000,5529,6022,1011.97,74
1967-02-01T00:00:00Z,1967.0849315,5630,5962,1008.49,75
1967-03-01T00:00:00Z,1967.1616438,6413,6075,993.06,80
1967-04-01T00:00:00Z,1967.2465753,5833,6152,1008.16,76
1967-05-01T00:00:00Z,1967.3287671,5401,6041,1015.55,73
1967-06-01T00:00:00Z,1967.4136986,5622,5996,1009.08,75
1967-07-01T00:00:00Z,1967.4958904,5607,6048,1010.35,75
1967-08-01T00:00:00Z,1967.5808219,5593,5982,1009.18,75
1967-09-01T00:00:00Z,1967.6657534,5534,6038,1011.99,74
1967-10-01T00:00:00Z,1967.7479452,6234,6069,996.66,79
1967-11-01T00:00:00Z,1967.8328767,5648,6010,1008.75,75
1967-12-01T00:00:00Z,1967.9150685,5955,6004,1001.52,77
1968-01-01T00:00:00Z,1968.0000000,5728,5953,1005.42,76
1968-02-01T00:00:00Z,1968.0846995,5609,5879,1007.28,75
1968-03-01T00:00:00Z,1968.1639344,6225,5913,993.75,79
1968-04-01T00:00:00Z,1968.2486339,5670,6049,1009.30,75
1968-05-01T00:00:00Z,1968.3306011,5405,5984,1014.29,74
1968-06-01T00:00:00Z,1968.4153005,5539,5905,1009.00,74
1968-07-01T00:00:00Z,1968.4972678,5375,5925,1013.21,73
1968-08-01T00:00:00Z,1968.5819672,5462,5943,1011.84,74
1968-09-01T00:00:00Z,1968.6666667,5246,5894,1016.19,72
1968-10-01T00:00:00Z,1968.7486339,5554,5801,1006.26,75
1968-11-01T00:00:00Z,1968.8333333,4958,5623,1017.36,70
1968-12-01T00:00:00Z,1968.9153005,5328,5655,1008.21,73
1969-01-01T00:00:00Z,1969.0000000,4988,5771,1020.13,71
1969-02-01T00:00:00Z,1969.0849315,4905,5730,1021.40,70
1969-03-01T00:00:00Z,1969.1616438,5148,5744,1016.03,72
1969-04-01T00:00:00Z,1969.2465753,5399,5829,1010.78,73
1969-05-01T00:00:00Z,1969.3287671,5126,5687,1014.22,72
1969-06-01T00:00:00Z,1969.4136986,5125,5628,1012.73,72
1969-07-01T00:00:00Z,1969.4958904,5229,5690,1011.61,72
1969-08-01T00:00:00Z,1969.5808219,5159,5785,1015.88,72
1969-09-01T00:00:00Z,1969.6657534,5539,5833,1007.24,74
1969-10-01T00:00:00Z,1969.7479452,5666,5860,1004.99,75
1969-11-01T00:00:00Z,1969.8328767,6150,5850,993.60,78
1969-12-01T00:00:00Z,1969.9150685,5112,5864,1019.00,71
1970-01-01T00:00:00Z,1970.0000000,5287,5792,1012.95,73
1970-02-01T00:00:00Z,1970.0849315,5667,5790,1003.68,75
1970-03-01T00:00:00Z,1970.0000000,5521,5795,1007.32,74
1970-04-01T00:00:00Z,1970.2465753,5493,5803,1007.58,74
1970-05-01T00:00:00Z,1970.3287671,5264,5841,1014.47,73
1970-06-01T00:00:00Z,1970.4136986,5069,5699,1015.98,71
1970-07-01T00:00:00Z,1970.4958904,5527,5690,1004.15,74
1970-08-01T00:00:00Z,1970.5808219,5266,5781,1012.98,73
1970-09-01T00:00:00Z,1970.6657534,5601,5870,1006.66,75
1970-10-01T00:00:00Z,1970.7479452,5657,5910,1006.50,75
1970-11-01T00:00:00Z,1970.8328767,5511,5794,1007.16,74
1970-12-01T00:00:00Z,1970.9150685,5608,5939,1008.10,75
1971-01-01T00:00:00Z,1971.0000000,5821,5910,1002.52,76
1971-02-01T00:00:00Z,1971.0849315,5522,6004,1011.90,74
1971-03-01T00:00:00Z,1971.1616438,5462,5956,1012.65,74
1971-04-01T00:00:00Z,1971.2465753,5526,6089,1013.39,74
1971-05-01T00:00:00Z,1971.3287671,5487,6132,1015.18,74
1971-06-01T00:00:00Z,1971.4136986,5865,6254,1008.87,77
1971-07-01T00:00:00Z,1971.4958904,5738,6266,1012.11,76
1971-08-01T00:00:00Z,1971.5808219,6052,6320,1006.05,78
1971-09-01T00:00:00Z,1971.6657534,5765,6323,1012.87,76
1971-10-01T00:00:00Z,1971.7479452,6161,6387,1005.51,78
1971-11-01T00:00:00Z,1971.8328767,6488,6348,997.78,81
1971-12-01T00:00:00Z,1971.9150685,6029,6295,1006.21,78
1972-01-01T00:00:00Z,1972.0000000,5091,6227,1027.55,71
1972-02-01T00:00:00Z,1972.0846995,5364,6130,1018.50,73
1972-03-01T00:00:00Z,1972.1639344,5911,6391,1012.05,77
1972-04-01T00:00:00Z,1972.2486339,6152,6445,1006.48,78
1972-05-01T00:00:00Z,1972.3306011,5737,6410,1015.41,76
1972-06-01T00:00:00Z,1972.4153005,5711,6270,1012.70,76
1972-07-01T00:00:00Z,1972.4972678,5746,6357,1013.78,76
1972-08-01T00:00:00Z,1972.5819672,5560,6093,1012.53,75
1972-09-01T00:00:00Z,1972.6666667,5810,6348,1012.14,76
1972-10-01T00:00:00Z,1972.7486339,5934,6354,1009.63,77
1972-11-01T00:00:00Z,1972.8333333,6292,6149,997.34,79
1972-12-01T00:00:00Z,1972.9153005,5971,6355,1009.14,77
1973-01-01T00:00:00Z,1973.0000000,5758,6366,1014.06,76
1973-02-01T00:00:00Z,1973.0849315,6442,6334,998.44,80
1973-03-01T00:00:00Z,1973.1616438,5893,6308,1009.57,77
1973-04-01T00:00:00Z,1973.2465753,5948,6198,1006.00,77
1973-05-01T00:00:00Z,1973.3287671,5575,6126,1013.06,75
1973-06-01T00:00:00Z,1973.4136986,5762,6263,1011.67,76
1973-07-01T00:00:00Z,1973.4958904,5794,6314,1011.82,76
1973-08-01T00:00:00Z,1973.5808219,5969,6361,1008.81,77
1973-09-01T00:00:00Z,1973.6657534,6018,6472,1010.17,78
1973-10-01T00:00:00Z,1973.7479452,6154,6447,1006.66,78
1973-11-01T00:00:00Z,1973.8328767,6755,6476,994.88,82
1973-12-01T00:00:00Z,1973.9150685,6616,6475,997.66,81
1974-01-01T00:00:00Z,1974.0000000,5925,6453,1012.26,77
1974-02-01T00:00:00Z,1974.0849315,6290,6480,1004.81,79
1974-03-01T00:00:00Z,1974.1616438,5388,6417,1024.43,73
1974-04-01T00:00:00Z,1974.2465753,5781,6383,1013.61,76
1974-05-01T00:00:00Z,1974.3287671,5644,6282,1014.97,75
1974-06-01T00:00:00Z,1974.4136986,5826,6214,1009.10,76
1974-07-01T00:00:00Z,1974.4958904,5997,6095,1002.31,77
1974-08-01T00:00:00Z,1974.5808219,5814,6200,1008.89,76
1974-09-01T00:00:00Z,1974.6657534,5898,6149,1006.00,77
1974-10-01T00:00:00Z,1974.7479452,5649,6156,1011.96,75
1974-11-01T00:00:00Z,1974.8328767,5782,6192,1009.85,76
1974-12-01T00:00:00Z,1974.9150685,6480,6304,996.49,80
1975-01-01T00:00:00Z,1975.0000000,6437,6319,998.25,80
1975-02-01T00:00:00Z,1975.0849315,5910,6375,1010.58,77
1975-03-01T00:00:00Z,1975.1616438,6088,6389,1006.86,78
1975-04-01T00:00:00Z,1975.2465753,6047,6430,1008.77,78
1975-05-01T00:00:00Z,1975.3287671,5842,6439,1013.54,76
1975-06-01T00:00:00Z,1975.4136986,5947,6462,1011.75,77
1975-07-01T00:00:00Z,1975.4958904,6039,6447,1009.00,78
1975-08-01T00:00:00Z,1975.5808219,5835,6405,1012.80,76
1975-09-01T00:00:00Z,1975.6657534,6288,6427,1003.28,79
1975-10-01T00:00:00Z,1975.7479452,5787,6421,1014.50,76
1975-11-01T00:00:00Z,1975.8328767,5926,6356,1010.06,77
1975-12-01T00:00:00Z,1975.9150685,6938,6429,990.25,83
1976-01-01T00:00:00Z,1976.0000000,6555,6417,998.08,81
1976-02-01T00:00:00Z,1976.0846995,5708,6416,1016.62,76
1976-03-01T00:00:00Z,1976.1639344,5673,6419,1017.55,75
1976-04-01T00:00:00Z,1976.2486339,5988,6372,1008.84,77
1976-05-01T00:00:00Z,1976.3306011,5704,6413,1016.02,76
1976-06-01T00:00:00Z,1976.4153005,6037,6442,1008.95,78
1976-07-01T00:00:00Z,1976.4972678,6021,6469,1009.93,78
1976-08-01T00:00:00Z,1976.5819672,5799,6477,1015.18,76
1976-09-01T00:00:00Z,1976.6666667,5986,6488,1011.56,77
1976-10-01T00:00:00Z,1976.7486339,5582,6480,1020.53,75
1976-11-01T00:00:00Z,1976.8333333,6102,6493,1009.16,78
1976-12-01T00:00:00Z,1976.9153005,6030,6469,1010.49,78
1977-01-01T00:00:00Z,1977.0000000,5887,6435,1012.48,77
1977-02-01T00:00:00Z,1977.0849315,5949,6440,1010.83,77
1977-03-01T00:00:00Z,1977.1616438,6024,6454,1009.62,78
1977-04-01T00:00:00Z,1977.2465753,6291,6436,1003.41,79
1977-05-01T00:00:00Z,1977.3287671,5749,6437,1015.60,76
1977-06-01T00:00:00Z,1977.4136986,6051,6432,1008.48,78
1977-07-01T00:00:00Z,1977.4958904,5982,6343,1008.17,77
1977-08-01T00:00:00Z,1977.5808219,5696,6357,1015.08,75
1977-09-01T00:00:00Z,1977.6657534,6009,6368,1008.35,78
1977-10-01T00:00:00Z,1977.7479452,5941,6420,1010.81,77
1977-11-01T00:00:00Z,1977.8328767,6731,6483,995.73,82
1977-12-01T00:00:00Z,1977.9150685,5834,6453,1014.47,76
1978-01-01T00:00:00Z,1978.0000000,6199,6343,1003.55,79
1978-02-01T00:00:00Z,1978.0849315,5580,6312,1017.27,75
1978-03-01T00:00:00Z,1978.1616438,6020,6298,1006.35,78
1978-04-01T00:00:00Z,1978.2465753,5584,6185,1014.18,75
1978-05-01T00:00:00Z,1978.3287671,5199,6052,1020.57,72
1978-06-01T00:00:00Z,1978.4136986,5777,6152,1008.66,76
1978-07-01T00:00:00Z,1978.4958904,5791,6160,1008.51,76
1978-08-01T00:00:00Z,1978.5808219,5869,6310,1009.91,77
1978-09-01T00:00:00Z,1978.6657534,6207,6318,1002.95,79
1978-10-01T00:00:00Z,1978.7479452,6123,6221,1002.72,78
1978-11-01T00:00:00Z,1978.8328767,6204,6263,1002.07,79
1978-12-01T00:00:00Z,1978.9150685,5543,6270,1017.11,74
1979-01-01T00:00:00Z,1979.0000000,5612,6180,1013.86,75
1979-02-01T00:00:00Z,1979.0849315,5810,6153,1009.25,76
1979-03-01T00:00:00Z,1979.1616438,5854,6078,1005.37,77
1979-04-01T00:00:00Z,1979.2465753,5386,5953,1013.94,73
