RGC,Sunspots
6414,13
6424,14
6427,14
6461,5
6464,14
6491,7
6474,9
6468,11
6512,22
6506,25
6467,21
6532,17
6593,10
6620,35
6513,23
6473,17
6454,13
6471,24
6509,29
6559,23
6508,25
6424,40
6376,35
6411,36
6397,69
6435,64
6346,68
6304,80
6277,73
6041,71
6162,81
6220,81
6155,100
6022,157
5962,133
6075,158
6152,98
6041,123
5996,95
6048,129
5982,152
6038,109
6069,125
6010,134
6004,179
5953,172
5879,158
5913,131
6049,115
5984,180
5905,156
5925,136
5943,155
5894,166
5801,153
5623,122
5655,155
5771,148
5730,171
5744,192
5829,151
5687,170
5628,150
5690,137
5785,139
5833,129
5860,135
5850,132
5864,139
5792,158
5790,181
5795,146
5803,155
5841,180
5699,151
5690,159
5781,132
5870,141
5910,123
5794,135
5939,118
5910,129
6004,112
5956,86
6089,102
6132,82
6254,71
6266,115
6320,87
6323,71
6387,73
6348,89
6295,116
6227,87
6130,125
6391,114
6445,90
6410,114
6270,125
6357,108
6093,109
6348,91
6354,87
6149,59
6355,64
6366,62
6334,61
6308,65
6198,82
6126,60
6263,56
6314,33
6361,37
6472,84
6447,44
6476,34
6475,33
6453,39
6480,37
6417,31
6383,57
6282,56
6214,51
6095,79
6200,48
6149,57
6156,67
6192,36
6304,30
6319,27
6375,17
6389,17
6430,8
6439,13
6462,17
6447,40
6405,57
6427,20
6421,14
6356,28
6429,12
6417,12
6416,6
6419,31
6372,27
6413,18
6442,18
6469,3
6477,24
6488,20
6480,30
6493,8
6469,22
6435,24
6440,33
6454,13
6436,19
6437,27
6432,55
6343,31
6357,43
6368,62
6420,62
6483,42
6453,61
6343,74
6312,133
6298,108
6185,141
6052,117
6152,135
6160,100
6310,82
6318,196
6221,177
6263,139
6270,174
6180,236
6153,195
6078,195
5953,144
5997,190
5858,212
5864,226
5726,201
5780,267
5883,264
5890,260
6000,250
5974,226
5934,219
6015,179
5912,232
5915,255
5744,223
5744,193
5764,192
5760,220
5652,233
5558,210
5549,247
5733,157
5646,190
5619,197
5560,225
5489,195
5646,132
5665,205
5671,242
5753,245
5572,216
5596,186
5711,195
5830,150
5629,231
5816,221
5861,170
5917,119
5629,164
