Year,Month,FractionalDate,Number of Sunspots,Raíz das contagens
1964,4,1964.2486339,13,4
1964,5,1964.3306011,14,4
1964,6,1964.4153005,14,4
1964,7,1964.4972678,5,2
1964,8,1964.5819672,14,4
1964,9,1964.6666667,7,3
1964,10,1964.7486339,9,3
1964,11,1964.8333333,11,3
1964,12,1964.9153005,22,5
1965,1,1965.0000000,25,5
1965,2,1965.0849315,21,5
1965,3,1965.1616438,17,4
1965,4,1965.2465753,10,3
1965,5,1965.3287671,35,6
1965,6,1965.4136986,23,5
1965,7,1965.4958904,17,4
1965,8,1965.5808219,13,4
1965,9,1965.6657534,24,5
1965,10,1965.7479452,29,5
1965,11,1965.8328767,23,5
1965,12,1965.9150685,25,5
1966,1,1966.0000000,40,6
1966,2,1966.0849315,35,6
1966,3,1966.1616438,36,6
1966,4,1966.2465753,69,8
1966,5,1966.3287671,64,8
1966,6,1966.4136986,68,8
1966,7,1966.4958904,80,9
1966,8,1966.5808219,73,9
1966,9,1966.6657534,71,8
1966,10,1966.7479452,81,9
1966,11,1966.8328767,81,9
1966,12,1966.9150685,100,10
1967,1,1967.0000000,157,13
1967,2,1967.0849315,133,12
1967,3,1967.1616438,158,13
1967,4,1967.2465753,98,10
1967,5,1967.3287671,123,11
1967,6,1967.4136986,95,10
1967,7,1967.4958904,129,11
1967,8,1967.5808219,152,12
1967,9,1967.6657534,109,10
1967,10,1967.7479452,125,11
1967,11,1967.8328767,134,12
1967,12,1967.9150685,179,13
1968,1,1968.0000000,172,13
1968,2,1968.0846995,158,13
1968,3,1968.1639344,131,11
1968,4,1968.2486339,115,11
1968,5,1968.3306011,180,13
1968,6,1968.4153005,156,12
1968,7,1968.4972678,136,12
1968,8,1968.5819672,155,12
1968,9,1968.6666667,166,13
1968,10,1968.7486339,153,12
1968,11,1968.8333333,122,11
1968,12,1968.9153005,155,12
1969,1,1969.0000000,148,12
1969,2,1969.0849315,171,13
1969,3,1969.1616438,192,14
1969,4,1969.2465753,151,12
1969,5,1969.3287671,170,13
1969,6,1969.4136986,150,12
1969,7,1969.4958904,137,12
1969,8,1969.5808219,139,12
1969,9,1969.6657534,129,11
1969,10,1969.7479452,135,12
1969,11,1969.8328767,132,12
1969,12,1969.9150685,139,12
1970,1,1970.0000000,158,13
1970,2,1970.0849315,181,13
1970,3,1970.0000000,146,12
1970,4,1970.2465753,155,12
1970,5,1970.3287671,180,13
1970,6,1970.4136986,151,12
1970,7,1970.4958904,159,13
1970,8,1970.5808219,132,11
1970,9,1970.6657534,141,12
1970,10,1970.7479452,123,11
1970,11,1970.8328767,135,12
1970,12,1970.9150685,118,11
1971,1,1971.0000000,129,11
1971,2,1971.0849315,112,11
1971,3,1971.1616438,86,9
1971,4,1971.2465753,102,10
1971,5,1971.3287671,82,9
1971,6,1971.4136986,71,8
1971,7,1971.4958904,115,11
1971,8,1971.5808219,87,9
1971,9,1971.6657534,71,8
1971,10,1971.7479452,73,9
1971,11,1971.8328767,89,9
1971,12,1971.9150685,116,11
1972,1,1972.0000000,87,9
1972,2,1972.0846995,125,11
1972,3,1972.1639344,114,11
1972,4,1972.2486339,90,9
1972,5,1972.3306011,114,11
1972,6,1972.4153005,125,11
1972,7,1972.4972678,108,10
1972,8,1972.5819672,109,10
1972,9,1972.6666667,91,10
1972,10,1972.7486339,87,9
1972,11,1972.8333333,59,8
1972,12,1972.9153005,64,8
1973,1,1973.0000000,62,8
1973,2,1973.0849315,61,8
1973,3,1973.1616438,65,8
1973,4,1973.2465753,82,9
1973,5,1973.3287671,60,8
1973,6,1973.4136986,56,7
1973,7,1973.4958904,33,6
1973,8,1973.5808219,37,6
1973,9,1973.6657534,84,9
1973,10,1973.7479452,44,7
1973,11,1973.8328767,34,6
1973,12,1973.9150685,33,6
1974,1,1974.0000000,39,6
1974,2,1974.0849315,37,6
1974,3,1974.1616438,31,6
1974,4,1974.2465753,57,8
1974,5,1974.3287671,56,8
1974,6,1974.4136986,51,7
1974,7,1974.4958904,79,9
1974,8,1974.5808219,48,7
1974,9,1974.6657534,57,8
1974,10,1974.7479452,67,8
1974,11,1974.8328767,36,6
1974,12,1974.9150685,30,5
1975,1,1975.0000000,27,5
1975,2,1975.0849315,17,4
1975,3,1975.1616438,17,4
1975,4,1975.2465753,8,3
1975,5,1975.3287671,13,4
1975,6,1975.4136986,17,4
1975,7,1975.4958904,40,6
1975,8,1975.5808219,57,8
1975,9,1975.6657534,20,5
1975,10,1975.7479452,14,4
1975,11,1975.8328767,28,5
1975,12,1975.9150685,12,3
1976,1,1976.0000000,12,3
1976,2,1976.0846995,6,3
1976,3,1976.1639344,31,6
1976,4,1976.2486339,27,5
1976,5,1976.3306011,18,4
1976,6,1976.4153005,18,4
1976,7,1976.4972678,3,2
1976,8,1976.5819672,24,5
1976,9,1976.6666667,20,4
1976,10,1976.7486339,30,5
1976,11,1976.8333333,8,3
1976,12,1976.9153005,22,5
1977,1,1977.0000000,24,5
1977,2,1977.0849315,33,6
1977,3,1977.1616438,13,4
1977,4,1977.2465753,19,4
1977,5,1977.3287671,27,5
1977,6,1977.4136986,55,7
1977,7,1977.4958904,31,6
1977,8,1977.5808219,43,7
1977,9,1977.6657534,62,8
1977,10,1977.7479452,62,8
1977,11,1977.8328767,42,6
1977,12,1977.9150685,61,8
1978,1,1978.0000000,74,9
1978,2,1978.0849315,133,12
1978,3,1978.1616438,108,10
1978,4,1978.2465753,141,12
1978,5,1978.3287671,117,11
1978,6,1978.4136986,135,12
1978,7,1978.4958904,100,10
1978,8,1978.5808219,82,9
1978,9,1978.6657534,196,14
1978,10,1978.7479452,177,13
1978,11,1978.8328767,139,12
1978,12,1978.9150685,174,13
1979,1,1979.0000000,236,15
1979,2,1979.0849315,195,14
1979,3,1979.1616438,195,14
1979,4,1979.2465753,144,12
1979,5,1979.3287671,190,14
1979,6,1979.4136986,212,15
1979,7,1979.4958904,226,15
1979,8,1979.5808219,201,14
1979,9,1979.6657534,267,16
1979,10,1979.7479452,264,16
1979,11,1979.8328767,260,16
1979,12,1979.9150685,250,16
1980,1,1980.0000000,226,15
1980,2,1980.0846995,219,15
1980,3,1980.1639344,179,13
1980,4,1980.2486339,232,15
1980,5,1980.3306011,255,16
1980,6,1980.4153005,223,15
1980,7,1980.4972678,193,14
1980,8,1980.5819672,192,14
1980,9,1980.6666667,220,15
1980,10,1980.7486339,233,15
1980,11,1980.8333333,210,14
1980,12,1980.9153005,247,16
1981,1,1981.0000000,157,13
1981,2,1981.0849315,190,14
1981,3,1981.1616438,197,14
1981,4,1981.2465753,225,15
1981,5,1981.3287671,195,14
1981,6,1981.4136986,132,11
1981,7,1981.4958904,205,14
1981,8,1981.5808219,242,16
1981,9,1981.6657534,245,16
1981,10,1981.7479452,216,15
1981,11,1981.8328767,186,14
1981,12,1981.9150685,195,14
1982,1,1982.0000000,150,12
1982,2,1982.0849315,231,15
1982,3,1982.1616438,221,15
1982,4,1982.2465753,170,13
1982,5,1982.3287671,119,11
1982,6,1982.4136986,164,13
1982,7,1982.4958904,139,12
1982,8,1982.5808219,162,13
1982,9,1982.6657534,167,13
1982,10,1982.7479452,134,12
1982,11,1982.8328767,127,11
1982,12,1982.9150685,169,13
1983,1,1983.0000000,115,11
1983,2,1983.0849315,73,9
1983,3,1983.1616438,89,9
1983,4,1983.2465753,110,10
1983,5,1983.3287671,133,12
1983,6,1983.4136986,131,11
1983,7,1983.4958904,109,10
1983,8,1983.5808219,96,10
1983,9,1983.6657534,70,8
1983,10,1983.7479452,73,9
1983,11,1983.8328767,46,7
1983,12,1983.9150685,46,7
1984,1,1984.0000000,75,9
1984,2,1984.0846995,110,10
1984,3,1984.1639344,117,11
1984,4,1984.2486339,90,10
1984,5,1984.3306011,97,10
1984,6,1984.4153005,65,8
1984,7,1984.4972678,56,7
1984,8,1984.5819672,35,6
1984,9,1984.6666667,23,5
1984,10,1984.7486339,13,4
1984,11,1984.8333333,26,5
1984,12,1984.9153005,21,5
1985,1,1985.0000000,18,4
1985,2,1985.0849315,21,5
1985,3,1985.1616438,17,4
1985,4,1985.2465753,20,5
1985,5,1985.3287671,32,6
1985,6,1985.4136986,28,5
1985,7,1985.4958904,40,6
1985,8,1985.5808219,10,3
1985,9,1985.6657534,4,2
1985,10,1985.7479452,22,5
1985,11,1985.8328767,18,4
1985,12,1985.9150685,16,4
1986,1,1986.0000000,3,2
1986,2,1986.0849315,28,5
1986,3,1986.1616438,14,4
1986,4,1986.2465753,22,5
1986,5,1986.3287671,16,4
1986,6,1986.4136986,1,1
1986,7,1986.4958904,18,4
1986,8,1986.5808219,10,3
1986,9,1986.6657534,5,2
1986,10,1986.7479452,40,6
1986,11,1986.8328767,15,4
1986,12,1986.9150685,6,2
1987,1,1987.0000000,10,3
1987,2,1987.0849315,3,2
1987,3,1987.1616438,17,4
1987,4,1987.2465753,46,7
